Date,Tweet,Stock Name,Company Name,cleaned_tweet
2022-03-07 18:06:03+00:00,"HOW TO use @unusual_whales Flow + Key level for 100% BAG!!!!! Detailed Video💰💵💰

$UAL
✅Pocket Strategy
✅Key Level Broken
✅Bearish Flow all morning
✅""h"" pattern triggered intraday
Pocket + Flow + Pattern = 💰💵

$NVDA $AMD $ROKU $TSLA $AMZN $NFLX $SHOP $ABNB $QCOM $RBLX $SQ https://t.co/85FKxsz9BQ",TSLA,"Tesla, Inc.",how to use flow key level for 100 bag detailed video ual pocket strategy key level broken bearish flow all morning h pattern triggered intraday pocket flow pattern nvda amd roku tsla amzn nflx shop abnb qcom rblx sq
2022-03-01 16:57:19+00:00,Markets went from nice and green to collapse. Will be glad when all this 800+ and then -800 is over and we can move on to some type of stability. I like being able to trade it but also like knowing I'm not going to suffer an intraday collapse for no reason too. $TSLA,TSLA,"Tesla, Inc.",markets went from nice and green to collapse will be glad when all this 800 and then 800 is over and we can move on to some type of stability i like being able to trade it but also like knowing im not going to suffer an intraday collapse for no reason too tsla
2022-02-25 13:30:51+00:00,"4300 intraday target 🎯 met. AFAIK I was only one bullish in night. 

ON lows? ~4220 😊🙂

To celebrate 🥂 I am opening the plan to all. FREE today only, join now!

Share my plan with traders like ur self. $ENPH $TSLA $PLTR $ADBE $GOOG $AXP

https://t.co/LNcIcYRkV8",TSLA,"Tesla, Inc.",4300 intraday target met afaik i was only one bullish in night on lows 4220 to celebrate i am opening the plan to all free today only join now share my plan with traders like ur self enph tsla pltr adbe goog axp
2022-02-24 20:58:14+00:00,I don't remember the last time I've ever seen the NASDAQ do an 800 point swing intraday. Insane. Good insane today. $TSLA,TSLA,"Tesla, Inc.",i dont remember the last time ive ever seen the nasdaq do an 800 point swing intraday insane good insane today tsla
2022-02-15 23:58:06+00:00,"Folks…

Due to the choppy session and anxiety it caused, I decided to release my trade plan for tomorrow and share with folks. Enjoy. Feel free to share this with your friends 👍

$LMT $XLF $AXP $XOM $CVX $TRTN $CMG $TSLA $MSFT $AAPL #StockMarket #Nifty 

https://t.co/H7ifeeF41J",TSLA,"Tesla, Inc.",folks due to the choppy session and anxiety it caused i decided to release my trade plan for tomorrow and share with folks enjoy feel free to share this with your friends lmt xlf axp xom cvx trtn cmg tsla msft aapl
2022-02-14 17:08:14+00:00,"$TSLA $AMZN
#tradingtips 
When I say look for 10 min 34-50 At open (my morning retweet), this is what i meant
Example $TSLA $AMZN relative strength today and reclaimed 34-50 EMA right at open
You want to long these intraday and ignore stocks under 34-50 EMA at open https://t.co/Acoxis3bUx https://t.co/FVhWYvlyVF",TSLA,"Tesla, Inc.",tsla amzn when i say look for 10 min 3450 at open my morning retweet this is what i meant example tsla amzn relative strength today and reclaimed 3450 ema right at open you want to long these intraday and ignore stocks under 3450 ema at open
2022-01-24 21:05:53+00:00,"$TSLA stock was down 9.8% at Monday's lows. Up more than $78 from intraday low of $851 and change to close at $930 a share, down less than 2%. Today was bonkers in the market.",TSLA,"Tesla, Inc.",tsla stock was down 98 at mondays lows up more than 78 from intraday low of 851 and change to close at 930 a share down less than 2 today was bonkers in the market
2022-01-24 14:54:12+00:00,"$TSLA has crossed under the Stephenson Indicator™️ intraday and is trading in significantly oversold territory.

Not trading advice. https://t.co/UFgz4R9ZKz",TSLA,"Tesla, Inc.",tsla has crossed under the stephenson indicator intraday and is trading in significantly oversold territory not trading advice
2022-01-19 16:19:03+00:00,$TSLA down 5% now intraday. https://t.co/qhZf9O5opm,TSLA,"Tesla, Inc.",tsla down 5 now intraday
2022-01-10 22:12:14+00:00,"$AMD $TSLA $TSLA $TTD
Some Intraday example on analyzing the Trend with+ Support Resistance 
#emaclouds https://t.co/RhnYEnJe7X",TSLA,"Tesla, Inc.",amd tsla tsla ttd some intraday example on analyzing the trend with support resistance
2022-01-05 21:01:14+00:00,"Did we all have fun today? Damn, that was pretty brutal. $TSLA sold off about 8% intraday and almost wiped out the entire delivery pop it received. There is always tomorrow. Once markets digest and realize fed said ""my consider"" or ""could"" they'll realize it was an over-reaction.",TSLA,"Tesla, Inc.",did we all have fun today damn that was pretty brutal tsla sold off about 8 intraday and almost wiped out the entire delivery pop it received there is always tomorrow once markets digest and realize fed said my consider or could theyll realize it was an overreaction
2022-01-05 20:07:08+00:00,"#tradingtips 
If you are active trader  learn to trade both sides 
$TSLA $AMD $LCID $NVDA
System clearly said Intraday PUTS/Short was in play or switch when system says, link with market and VIX and daily levels and you have repeatable setup
STUDY
👇👇 #ripsterClouds #EMAclouds https://t.co/Ai9pQpR0vi",TSLA,"Tesla, Inc.",if you are active trader learn to trade both sides tsla amd lcid nvda system clearly said intraday putsshort was in play or switch when system says link with market and vix and daily levels and you have repeatable setup study
2022-01-04 23:55:07+00:00,"Good intraday short trade done in $TSLA today based on supply zone price rejection.
Used VWAP &amp; EMA21 for confluence &amp; timing the trade. Rest of the details are in the chart. 

Happy Learning! https://t.co/QtDxcKH2dA",TSLA,"Tesla, Inc.",good intraday short trade done in tsla today based on supply zone price rejection used vwap amp ema21 for confluence amp timing the trade rest of the details are in the chart happy learning
2022-01-04 21:17:53+00:00,P/L: -$81.4K 👎 Loss.  Didn't see anything I liked on the small cap side of things today aside from $NRTB shorts but locates too expensive.  Got stuck in $TSLA dump didn't think it would give back yesterday's entire intraday move.  Was down -202K but recovered 121K on real bounce https://t.co/wnK8U9xQsL,TSLA,"Tesla, Inc.",pl 814k loss didnt see anything i liked on the small cap side of things today aside from nrtb shorts but locates too expensive got stuck in tsla dump didnt think it would give back yesterdays entire intraday move was down 202k but recovered 121k on real bounce
2021-12-30 16:49:11+00:00,"Just sold my $1059's from this morning at $1089 for a quick $30,000 win intraday. $TSLA",TSLA,"Tesla, Inc.",just sold my 1059s from this morning at 1089 for a quick 30000 win intraday tsla
2021-12-30 13:13:34+00:00,"$TSLA bouncing up and down like a penny stock. For a Trillion dollar company to do this is pretty insane. You'd never see Apple, Amazon, Microsoft or any others bounce up and down by 2-4% intraday. It's pure manipulation.",TSLA,"Tesla, Inc.",tsla bouncing up and down like a penny stock for a trillion dollar company to do this is pretty insane youd never see apple amazon microsoft or any others bounce up and down by 24 intraday its pure manipulation
2021-12-30 05:09:17+00:00,"#driplist intraday list for tomorrow 

Bull
$NVDA
$UBER
$AA
$ABT
$FDX
$NKE

Bear
$TSLA
$DKNG
$ROKU

Watching 
$NIO $AMZN $COST",TSLA,"Tesla, Inc.",intraday list for tomorrow bull nvda uber aa abt fdx nke bear tsla dkng roku watching nio amzn cost
2021-12-29 17:12:34+00:00,"HOW TO use @unusual_whales FLOW + PATTERN to buy puts!

$AMD
✅OVERALL Market extended
✅Intraday Rising Wedge (bearish)
✅Pattern coming into resistance
✅Bearish Short Term Flow
Pattern + Flow + Sentiment = 💰💵

Chart @TrendSpider 
$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/2R6PxhJ7ed",TSLA,"Tesla, Inc.",how to use flow pattern to buy puts amd overall market extended intraday rising wedge bearish pattern coming into resistance bearish short term flow pattern flow sentiment chart nvda amd roku tsla
2021-12-27 17:59:06+00:00,"HOW TO use @unusual_whales flow + Pocket + Pattern to become profitable!
 
$TSLA
✅Daily Chart Breaking out
✅Double Bottom Reversal Intraday
✅Flow bullish intraday
✅OTM &amp; Short Expiry flowing in
Pattern + Flow = 💰💵

Chart @TrendSpider 
$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/b21n2h9TuZ",TSLA,"Tesla, Inc.",how to use flow pocket pattern to become profitable tsla daily chart breaking out double bottom reversal intraday flow bullish intraday otm amp short expiry flowing in pattern flow chart nvda amd roku tsla
2021-12-23 17:35:49+00:00,"HOW TO use @unusual_whales flow + Reversal Patterns for big gains!
 
$TSLA
✅Inverse Head &amp; Shoulder
✅Momentum last few days
✅Flow bullish intraday
✅OTM &amp; Short Expiry flowing in
Reversal Pattern + Flow = 💰💵🤑💰 

Chart @TrendSpider 
$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/vVqfwswuN6",TSLA,"Tesla, Inc.",how to use flow reversal patterns for big gains tsla inverse head amp shoulder momentum last few days flow bullish intraday otm amp short expiry flowing in reversal pattern flow chart nvda amd roku tsla
2021-12-21 21:38:00+00:00,"Funny how these types of ""news"" pieces always come at the peak or top of $TSLA stock price intraday or AH's. Coincidence? Nope.",TSLA,"Tesla, Inc.",funny how these types of news pieces always come at the peak or top of tsla stock price intraday or ahs coincidence nope
2021-12-21 21:00:45+00:00,What a beautiful close. Did an intraday retest of the low and then bounced and went above the intraday high. Very bullish. $TSLA https://t.co/ZV65ohCPn4,TSLA,"Tesla, Inc.",what a beautiful close did an intraday retest of the low and then bounced and went above the intraday high very bullish tsla
2021-12-20 18:30:36+00:00,"HOW TO SETUP your @unusual_whales SCREENS!

🚨MUST WATCH!🚨
In this video I discuss how I have my one monitor setup for UW with multiple windows!

Helps with:
✅Identifying Momentum
✅Finding Alerts Quick
✅Checking Intraday Flow on the Fly

$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/0wCixOUGQp",TSLA,"Tesla, Inc.",how to setup your screens must watch in this video i discuss how i have my one monitor setup for uw with multiple windows helps with identifying momentum finding alerts quick checking intraday flow on the fly nvda amd roku tsla
2021-12-09 18:03:24+00:00,"HOW TO use @unusual_whales to give you confirmation for DAY TRADING

$AAPL
✅Bullish Intraday Pattern
✅Falling wedge into Support/MA
✅Bullish Flow coming in
✅OTM strikes
Pattern + Flow = Take The Trade! 💰🤑

Chart @TrendSpider 
$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/JtdL5125H9",TSLA,"Tesla, Inc.",how to use to give you confirmation for day trading aapl bullish intraday pattern falling wedge into supportma bullish flow coming in otm strikes pattern flow take the trade chart nvda amd roku tsla
2021-12-07 18:04:57+00:00,"HOW TO use @unusual_whales + PATTERN to Achieve high % win rate! 💰

$AMD
✅Falling Wedge
✅Pull back into MA support
✅Bullish short Term Flow
✅Bullish Intraday Pattern
Pattern + Support + Flow = TAKE THE TRADE! 💰🤑

Chart @TrendSpider 
$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/AY4JpOXIEs",TSLA,"Tesla, Inc.",how to use pattern to achieve high win rate amd falling wedge pull back into ma support bullish short term flow bullish intraday pattern pattern support flow take the trade chart nvda amd roku tsla
2021-12-06 13:37:52+00:00,"#driplist intraday/scalp 

Bull
$PFE
$GS
$MGM
$GIS
$ABBV

Bear 
$LCID
$CRM
$PDD
$BABA

Watching 
$TSLA $NVDA $MRNA $SAVA",TSLA,"Tesla, Inc.",intradayscalp bull pfe gs mgm gis abbv bear lcid crm pdd baba watching tsla nvda mrna sava
2021-12-02 17:42:21+00:00,"HOW TO use @unusual_whales Intraday to give you trade confirmation for SCALP TRADING!

$SPY $AAPL
✅Bullish flow
✅Short term expiry
✅OTM calls
✅Intraday Bullish pattern
Multiple Confirmation + Take the Scalp! 💰🤑

Chart @TrendSpider 
$NVDA $AMD $ROKU $TSLA #investrLessons https://t.co/eFIfnO3gu6",TSLA,"Tesla, Inc.",how to use intraday to give you trade confirmation for scalp trading spy aapl bullish flow short term expiry otm calls intraday bullish pattern multiple confirmation take the scalp chart nvda amd roku tsla
2021-12-02 13:37:54+00:00,"#driplist watchlist intraday 

Bull 
$TSLA
$FSLR
$ENPH 
$KEYS
$MARA
$PLTR
$SQ

Bear 
$AAPL
Ton of other stocks lol 

Watching $MRNA

Have a busy day ahead so just going to scalp here and there. Good luck. Won’t be actively trading today",TSLA,"Tesla, Inc.",watchlist intraday bull tsla fslr enph keys mara pltr sq bear aapl ton of other stocks lol watching mrna have a busy day ahead so just going to scalp here and there good luck wont be actively trading today
2021-11-24 02:47:34+00:00,"Musk dumped another $350M today, explaining the 7% intraday plunge in $tsla. Amazing how much a few hundred mil in sales can hammer a stock with $25 billion in daily trading volume. A true house of cards https://t.co/2vHm1Ydyjy",TSLA,"Tesla, Inc.",musk dumped another 350m today explaining the 7 intraday plunge in tsla amazing how much a few hundred mil in sales can hammer a stock with 25 billion in daily trading volume a true house of cards
2021-11-17 23:02:59+00:00,"🚨LIVESTREAM🚨

Gonna go over all the trades we made today.

Key point I want to make is how I used @unusual_whales flow from yesterday on $TSLA and intraday on $AAPL to secure +400% on each trade. 

So much to learn in this session!!

👉https://t.co/XbfOrqw3Xr👈 https://t.co/o8K8el8eDz",TSLA,"Tesla, Inc.",livestream gonna go over all the trades we made today key point i want to make is how i used flow from yesterday on tsla and intraday on aapl to secure 400 on each trade so much to learn in this session
2021-11-17 14:02:19+00:00,"#driplist intraday/scalp 

Bull 
$TSLA
$AFRM 
$CAT
$EXPE
$INTU
$HD
$XPEV

Bear
$ROKU
$LCID",TSLA,"Tesla, Inc.",intradayscalp bull tsla afrm cat expe intu hd xpev bear roku lcid
2021-11-15 13:50:44+00:00,"#driplist scalp/intraday 

Bullish 
$EA
$PANW 
$DISH 
$BA 
$BABA 
$TWTR
$FB

Bearish 
$TSLA
$NVDA",TSLA,"Tesla, Inc.",scalpintraday bullish ea panw dish ba baba twtr fb bearish tsla nvda
2021-10-25 16:36:55+00:00,"𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚: at the $996.50 intraday high, Tesla just crossed the 1 trillion dollars market cap for the first time in its history!

Congratulations @elonmusk &amp; @Tesla employees, this historic milestone is well deserved! 🎉 https://t.co/nIKQK2i6Zh",TSLA,"Tesla, Inc.",𝗕𝗥𝗘𝗔𝗞𝗜𝗡𝗚 at the 99650 intraday high tesla just crossed the 1 trillion dollars market cap for the first time in its history congratulations amp employees this historic milestone is well deserved
2021-10-22 14:17:02+00:00,$TSLA -  TESLA SHARES HIT INTRADAY RECORD HIGH AT $907.8799,TSLA,"Tesla, Inc.",tsla tesla shares hit intraday record high at 9078799
2021-10-22 14:13:25+00:00,"*TESLA EXTENDS RALLY, HITS NEW INTRADAY RECORD OF $907.13

$TSLA https://t.co/TwvgO4Vhee",TSLA,"Tesla, Inc.",tesla extends rally hits new intraday record of 90713 tsla
2021-10-22 13:37:34+00:00,"$TSLA - *TESLA EXTENDS RALLY, HITS NEW INTRADAY RECORD OF $903.32",TSLA,"Tesla, Inc.",tsla tesla extends rally hits new intraday record of 90332
2021-10-18 18:07:32+00:00,$TSLA's all time closing high is $883.09 on 1/26/21.  It's all-time intraday high is $900.40 on 1/25/21.,TSLA,"Tesla, Inc.",tslas all time closing high is 88309 on 12621 its alltime intraday high is 90040 on 12521
2021-10-15 15:26:30+00:00,"Remember, I'm always long 5,000 shares of $TSLA. Moves I make intraday don't matter to my conviction and bullish support.",TSLA,"Tesla, Inc.",remember im always long 5000 shares of tsla moves i make intraday dont matter to my conviction and bullish support
2022-09-12 14:45:42+00:00,"@NasdaqExchange Funny that AMZN and GME stand out as outliers, with increasing post-split intraday volatility. Phil thinks this is due to coincidental, related announcements, which I think is probably right for AMZN. I think GME trades differently from nearly every other stock, for many reasons. https://t.co/qzuMPqJuix",MSFT,Microsoft Corporation,funny that amzn and gme stand out as outliers with increasing postsplit intraday volatility phil thinks this is due to coincidental related announcements which i think is probably right for amzn i think gme trades differently from nearly every other stock for many reasons
2021-11-18 16:35:12+00:00,"HOW TO use @unusual_whales to BANK 🤑💰Multi Time Frame Analysis

$AMZN
✅Pocket on Daily
✅Relative Strength on Weak market day
✅Breakout on Daily
✅FLOW EXTREMELY Bullish
✅Pull Back into MA intraday
This is Conviction = Take the trade = 💰💵🤑

$SPY $AMD $NVDA #investrLessons https://t.co/4xNamKj6Ai",MSFT,Microsoft Corporation,how to use to bank multi time frame analysis amzn pocket on daily relative strength on weak market day breakout on daily flow extremely bullish pull back into ma intraday this is conviction take the trade spy amd nvda
2022-02-02 23:03:23+00:00,$FB intraday v. $FB AH https://t.co/gYNgSkdihg,META,"Meta Platforms, Inc.",fb intraday v fb ah
2021-11-02 13:04:49+00:00,"Today’s scalp/intraday watchlist #driplist 

Bull
$FB
$COIN
$MARA
$SNAP
$NVAX
$ZI
$UAA
$KSS

Won’t be trading a lot. Already in $UAA.

Good luck!",META,"Meta Platforms, Inc.",todays scalpintraday watchlist bull fb coin mara snap nvax zi uaa kss wont be trading a lot already in uaa good luck
2022-09-17 19:09:36+00:00,"⭐️ OPTIONS STARTER PACK ⭐️ 

-Trade $SPY $QQQ $AMD $AAPL

-1 contract per trade

-NO 0DTE

-Zone/Dip entries ONLY

-Stop Loss : -15%, Take profit 30-45%
(1:2 or 1:3 Risk to reward)

-3/5/10min charts for intraday

-9/20/200 EMA &amp; VWAP

-30min ORB High and Low

I hope this helps!",AMD,"Advanced Micro Devices, Inc.",options starter pack trade spy qqq amd aapl 1 contract per trade no 0dte zonedip entries only stop loss 15 take profit 3045 12 or 13 risk to reward 3510min charts for intraday 920200 ema amp vwap 30min orb high and low i hope this helps
2022-04-06 19:05:13+00:00,"$AMD
#update 
Significance of intraday support
Its right there https://t.co/fndqTLoZTV",AMD,"Advanced Micro Devices, Inc.",amd significance of intraday support its right there
2022-02-02 14:49:09+00:00,"$AMD touched 132 
$GOOGL 3050 in Premarket
Locked Decent Profits, congratz!
Now  everything under 10 min Trend so far with market as VIX bounces off 21 level
Longs only on 10 min uptrend intraday and Shorts on 10 min downtrend for me, strictly following #EMACloud rules",AMD,"Advanced Micro Devices, Inc.",amd touched 132 googl 3050 in premarket locked decent profits congratz now everything under 10 min trend so far with market as vix bounces off 21 level longs only on 10 min uptrend intraday and shorts on 10 min downtrend for me strictly following rules
2022-01-10 19:17:16+00:00,"$AMD
#tradingtips #emaclouds 
Example of Intraday EMA Clouds reversal earlier
Reclaimed 34-50 for first time in few days, see if it holds that  on 10 minute here https://t.co/TNp6srVUHp",AMD,"Advanced Micro Devices, Inc.",amd example of intraday ema clouds reversal earlier reclaimed 3450 for first time in few days see if it holds that on 10 minute here
2021-12-11 20:42:19+00:00,"I added $AMD 142p this week in the discord with the help from @unusual_whales intraday analyst flow. These puts went 360% 🐳
Member gain was +150,981 on this one trade.💰
The @unusual_whales intraday analysis flow shows you exactly what's happening with the ticker at the moment. https://t.co/shataRtLIy",AMD,"Advanced Micro Devices, Inc.",i added amd 142p this week in the discord with the help from intraday analyst flow these puts went 360 member gain was 150981 on this one trade the intraday analysis flow shows you exactly whats happening with the ticker at the moment
2021-11-30 13:48:17+00:00,"#driplist intraday watchlist 

Bull
$NFLX
$AMD
$VIR
$PANW
$ATVI
$FSLR

Bear 
$SNOW
$DWAC
$NKE

Watching 
$PENN $MRNA $YCBD",AMD,"Advanced Micro Devices, Inc.",intraday watchlist bull nflx amd vir panw atvi fslr bear snow dwac nke watching penn mrna ycbd
2021-11-01 12:48:53+00:00,"Today’s scalp/intraday watchlist #driplist

Bull
$XPEV
$GOOGL
$MARA
$NVAX
$ON
$FSLR
$RBLX

Bear 
$AMD
$MRNA
$CRWD

Good luck 👍",AMD,"Advanced Micro Devices, Inc.",todays scalpintraday watchlist bull xpev googl mara nvax on fslr rblx bear amd mrna crwd good luck
2021-10-26 15:56:07+00:00,"HOW TO USE @unusual_whales to sense market shift in sentiment intraday!

$SPX $SPY
If a ticker fails to break your resistance levels + Flow comes in heavy on the bearish side... Chances are Shift in sentiment incoming! 😲🚨 

$SPX $SPY $AMD $NVDA #OptionsTrading #InvestrEducation https://t.co/M1Tx92x9cq",AMD,"Advanced Micro Devices, Inc.",how to use to sense market shift in sentiment intraday spx spy if a ticker fails to break your resistance levels flow comes in heavy on the bearish side chances are shift in sentiment incoming spx spy amd nvda
2022-09-07 14:44:17+00:00,"My plan called last night I can not be intraday bear 🐻 above 3892. 

Very little trading below my 3892 and now we are trading 50 handles higher. 

Powered by OrderFlow. 

Bulls 🐮 now need to take 3935. Watch $aapl below 155 👍

#ES_F $SPX $NDX $SPY 

https://t.co/aSPBsivFgG",AAPL,Apple Inc.,my plan called last night i can not be intraday bear above 3892 very little trading below my 3892 and now we are trading 50 handles higher powered by orderflow bulls now need to take 3935 watch aapl below 155 spx ndx spy
2022-09-06 20:26:43+00:00,"Price is meeting up with the ⚓️VWAP from the March high and the AVWAP from the 2022 low in $AAPL

This a level of interest which HAS POTENTIAL to become support

Intraday chart shows no real support yet and decl 5DMA says too early to buy.  

Patiently stalk your prey https://t.co/MND6ZmYSaD",AAPL,Apple Inc.,price is meeting up with the vwap from the march high and the avwap from the 2022 low in aapl this a level of interest which has potential to become support intraday chart shows no real support yet and decl 5dma says too early to buy patiently stalk your prey
2022-08-05 21:52:42+00:00,"📈OPTIONS STARTER PACK📈

•TRADE $SPY $QQQ $IWM $AAPL

•Dip/pullback entries ONLY!

•1-2 contracts per position

•15-20% max risk, 1:3 R/r preferred

•MOVE SL UP as the trade turns green

•1-4 OTM and NO 0DTE

•BID in or no trade

•3/5/10 min charts for intraday",AAPL,Apple Inc.,options starter pack trade spy qqq iwm aapl dippullback entries only 12 contracts per position 1520 max risk 13 rr preferred move sl up as the trade turns green 14 otm and no 0dte bid in or no trade 3510 min charts for intraday
2022-07-01 20:26:48+00:00,"⭐️ OPTIONS STARTER STRATEGY⭐️

•Trade 2 $SPY $QQQ $IWM $AAPL

•No 0DTE, strikes 1-4 OTM

•15% hard stop, 1:2 R/R

•Dip entries only, no breakouts

•9/20/200 EMA &amp; VWAP supported by S/D

•Trade off of 30min ORB

•3/5/10/15m time frames for intraday

•1-2 contracts max",AAPL,Apple Inc.,options starter strategy trade 2 spy qqq iwm aapl no 0dte strikes 14 otm 15 hard stop 12 rr dip entries only no breakouts 920200 ema amp vwap supported by sd trade off of 30min orb 351015m time frames for intraday 12 contracts max
2022-06-25 17:54:27+00:00,"⭐️ BEGINNER OPTIONS TIPS⭐️

• Trade $SPY $QQQ $IWM $AAPL

•1-4 OTM or delta above .3

•Trade 1-2 contracts until consistently profitable

•Do not trade the open, wait for 30m ORB

•3/5/10/15 min chart intraday

•DIP adds only, identify your SL before entry

•10-15% SL",AAPL,Apple Inc.,beginner options tips trade spy qqq iwm aapl 14 otm or delta above 3 trade 12 contracts until consistently profitable do not trade the open wait for 30m orb 351015 min chart intraday dip adds only identify your sl before entry 1015 sl
